Date,Close,chg(close),Low,chg(low),High,chg(high),MA,Exponential_Smoothing
2021-08-17 23:58:00,68.12,-0.56,67.97,0.53,69.08,-0.47,68.12,68.9985615980492
2021-08-18 23:58:00,67.26,-0.86,66.3,-1.67,69.0,-0.08,67.26,68.0508152487349
2021-08-19 23:58:00,65.53,-1.73,64.65,-1.65,66.58,-2.42,65.53,67.00142085491424
2021-08-20 23:58:00,64.28,-1.25,64.09,-0.56,65.84,-0.74,64.28,66.0070972839411
2021-08-23 23:58:00,67.86,3.58,63.92,-0.17,67.93,2.09,67.86,64.397677977744
2021-08-24 23:58:00,69.78,1.92,67.69,3.77,70.0,2.07,69.78,67.60820736059621
2021-08-25 23:58:00,70.59,0.81,69.26,1.57,70.69,0.69,70.59,69.74603646142721
2021-08-26 23:58:00,69.57,-1.02,69.19,-0.07,70.45,-0.24,69.57,70.6633646872864
2021-08-27 23:58:00,71.05,1.48,69.89,0.7,71.1,0.65,71.05,69.52470864288746
2021-08-30 23:58:00,71.53,0.48,70.44,0.55,72.0,0.9,71.53,70.53379119167181
2021-08-31 23:58:00,71.0,-0.53,70.65,0.21,71.64,-0.36,71.0,71.73261311511645
2021-09-01 23:58:00,71.03,0.03,69.85,-0.8,71.75,0.11,71.03,71.00705759620702
2021-09-02 23:58:00,72.41,1.38,70.34,0.49,72.83,1.08,72.41,71.16078310328457
2021-09-03 23:58:00,71.98,-0.43,71.78,1.44,73.02,0.19,71.98,72.47865819364111
2021-09-07 23:58:00,71.06,-0.92,70.49,-1.29,72.25,-0.77,71.06,72.20270978845751
2021-09-08 23:58:00,71.82,0.76,70.95,0.46,72.23,-0.02,71.82,71.02019749794886
2021-09-09 23:58:00,70.79,-1.03,70.21,-0.74,72.4,0.17,70.79,71.3844901742313
2021-09-10 23:58:00,72.26,1.47,70.31,0.1,72.42,0.02,72.26,71.16955282633772
2021-09-13 23:58:00,72.9,0.64,72.04,1.73,73.27,0.85,72.9,72.06427141965617
2021-09-14 23:58:00,72.97,0.07,72.49,0.45,73.6,0.33,72.97,72.94037369728034
2021-09-15 23:58:00,74.78,1.81,73.14,0.65,75.42,1.82,74.78,73.17431805688022
2021-09-16 23:58:00,74.98,0.2,73.84,0.7,75.18,-0.24,74.98,74.76863574381358
2021-09-17 23:58:00,74.56,-0.42,73.93,0.09,75.07,-0.11,74.56,74.7895785114748
2021-09-20 23:58:00,73.07,-1.49,72.65,-1.28,74.6,-0.47,73.07,74.23899227737915
2021-09-21 23:58:00,73.57,0.5,72.5,-0.15,74.34,-0.26,73.57,73.51345696197544
2021-09-22 23:58:00,75.39,1.82,73.72,1.22,75.45,1.11,75.39,73.48927664948577
2021-09-23 23:58:00,76.46,1.07,74.81,1.09,76.53,1.08,76.46,75.31191013204756
2021-09-24 23:58:00,77.23,0.77,76.07,1.26,77.4,0.87,77.23,76.5399069515114
2021-09-27 23:58:00,78.72,1.49,77.42,1.35,79.04,1.64,78.72,77.32048030124835
2021-09-28 23:58:00,78.35,-0.37,77.31,-0.11,79.94,0.9,78.35,78.39741530026554
2021-09-29 23:58:00,78.09,-0.26,76.77,-0.54,78.74,-1.2,78.09,78.00872954435624
2021-09-30 23:58:00,78.31,0.22,76.5,-0.27,79.31,0.57,78.31,78.39438531543925
2021-10-01 23:58:00,79.28,0.97,77.57,1.07,79.41,0.1,79.28,78.24495266939333
2021-10-04 23:58:00,81.26,1.98,78.76,1.19,82.0,2.59,81.26,79.29820268514926
2021-10-05 23:58:00,82.56,1.3,81.2,2.44,83.11,1.11,82.56,81.24939506612303
2021-10-06 23:58:00,81.08,-1.48,80.59,-0.61,83.44,0.33,81.08,82.5814583215347
2021-10-07 23:58:00,81.95,0.87,79.08,-1.51,82.5,-0.94,81.95,81.08010251171191
2021-10-08 23:58:00,82.39,0.44,81.96,2.88,83.43,0.93,82.39,81.50669322962511
2021-10-11 23:58:00,83.65,1.26,82.56,0.6,84.6,1.17,83.65,82.60517165655789
2021-10-12 23:58:00,83.42,-0.23,82.72,0.16,84.23,-0.37,83.42,83.45934578809559
2021-10-13 23:58:00,83.18,-0.24,82.21,-0.51,83.69,-0.54,83.18,83.55771166659945
2021-10-14 23:58:00,84.0,0.82,83.19,0.98,84.53,0.84,84.0,83.4296278658556
2021-10-15 23:58:00,84.86,0.86,84.17,0.98,85.1,0.57,84.86,84.10379732692476
2021-10-18 23:58:00,84.33,-0.53,83.96,-0.21,86.03,0.93,84.33,84.60897398979763
2021-10-19 23:58:00,85.08,0.75,83.71,-0.25,85.4,-0.63,85.08,84.01448673050083
2021-10-20 23:58:00,85.82,0.74,83.63,-0.08,85.89,0.49,85.82,85.27490411040212
2021-10-21 23:58:00,84.61,-1.21,83.36,-0.27,86.12,0.23,84.61,85.6849329958596
2021-10-22 23:58:00,85.53,0.92,83.83,0.47,85.94,-0.18,85.53,84.86290411100228
2021-10-25 23:58:00,85.99,0.46,85.44,1.61,86.72,0.78,85.99,85.66340980731276
2021-10-26 23:58:00,86.4,0.41,85.28,-0.16,86.53,-0.19,86.4,86.12091415321737
2021-10-27 23:58:00,84.58,-1.82,84.05,-1.23,86.27,-0.26,84.58,86.20204557223707
